1726016824.0384927, start processing a new image.
1726016824.0397959, using left camera image.
1726016824.041118," camera image not ready, skipping."
1726016824.5430565, start processing a new image.
1726016824.544284, using left camera image.
1726016824.5455298," camera image not ready, skipping."
1726016825.0473185, start processing a new image.
1726016825.0484426, using left camera image.
1726016825.0495794," camera image not ready, skipping."
1726016825.551384, start processing a new image.
1726016825.5527446, using left camera image.
1726016825.5540564," camera image not ready, skipping."
1726016826.0557954, start processing a new image.
1726016826.057151, using left camera image.
1726016826.0585237," camera image not ready, skipping."
1726016826.5605175, start processing a new image.
1726016826.5618396, using left camera image.
1726016826.5632012," camera image not ready, skipping."
