1725437589.9574957, start processing a new image.
1725437589.9586215, using left camera image.
1725437589.9597378," camera image not ready, skipping."
1725437590.4615698, start processing a new image.
1725437590.462879, using left camera image.
1725437590.4641857," camera image not ready, skipping."
1725437590.9661899, start processing a new image.
1725437590.9674788, using left camera image.
1725437590.968715," camera image not ready, skipping."
1725437591.4707696, start processing a new image.
1725437591.4721887, using left camera image.
1725437591.47345," camera image not ready, skipping."
1725437591.9753742, start processing a new image.
1725437591.9767895, using left camera image.
1725437591.9781501," camera image not ready, skipping."
1725437592.4802978, start processing a new image.
1725437592.4816992, using left camera image.
1725437592.4829535," camera image not ready, skipping."
1725437592.9848669, start processing a new image.
1725437592.9861276, using left camera image.
1725437592.9874043," camera image not ready, skipping."
1725437593.489518, start processing a new image.
1725437593.4909005, using left camera image.
1725437593.492159," camera image not ready, skipping."
1725437593.994131, start processing a new image.
1725437593.9955308, using left camera image.
1725437593.9967933," camera image not ready, skipping."
1725437594.498773, start processing a new image.
1725437594.5001152, using left camera image.
1725437594.5013702," camera image not ready, skipping."
