1726016900.762287, start processing a new image.
1726016900.763506, using left camera image.
1726016900.764677," camera image not ready, skipping."
1726016901.266398, start processing a new image.
1726016901.2675667, using left camera image.
1726016901.2687156," camera image not ready, skipping."
1726016901.7705312, start processing a new image.
1726016901.7718527, using left camera image.
1726016901.7731466," camera image not ready, skipping."
1726016902.2750497, start processing a new image.
1726016902.2763886, using left camera image.
1726016902.2777426," camera image not ready, skipping."
1726016902.7797775, start processing a new image.
1726016902.7811875, using left camera image.
1726016902.7825153," camera image not ready, skipping."
1726016903.284255, start processing a new image.
1726016903.2856264, using left camera image.
1726016903.2869608," camera image not ready, skipping."
1726016903.7891333, start processing a new image.
1726016903.790526, using left camera image.
1726016903.7918901," camera image not ready, skipping."
1726016904.293902, start processing a new image.
1726016904.2952774, using left camera image.
1726016904.2965944," camera image not ready, skipping."
1726016904.7985582, start processing a new image.
1726016904.7999945, using left camera image.
1726016904.8014216," camera image not ready, skipping."
1726016905.303422, start processing a new image.
1726016905.304785, using left camera image.
1726016905.3061063," camera image not ready, skipping."
1726016905.8081543, start processing a new image.
1726016905.8097024, using left camera image.
1726016905.811062," camera image not ready, skipping."
1726016906.3132164, start processing a new image.
1726016906.3145494, using left camera image.
1726016906.3158915," camera image not ready, skipping."
1726016906.81793, start processing a new image.
1726016906.8192976, using left camera image.
1726016906.8206394," camera image not ready, skipping."
1726016907.3224866, start processing a new image.
1726016907.3237865, using left camera image.
1726016907.325219," camera image not ready, skipping."
1726016907.8271735, start processing a new image.
1726016907.8285468, using left camera image.
1726016907.8298924," camera image not ready, skipping."
1726016908.331953, start processing a new image.
1726016908.3333158, using left camera image.
1726016908.334601," camera image not ready, skipping."
1726016908.836691, start processing a new image.
1726016908.8380852, using left camera image.
1726016908.8394132," camera image not ready, skipping."
1726016909.3414032, start processing a new image.
1726016909.3427513, using left camera image.
1726016909.34408," camera image not ready, skipping."
1726016909.84611, start processing a new image.
1726016909.847495, using left camera image.
1726016909.848818," camera image not ready, skipping."
1726016910.3505664, start processing a new image.
1726016910.3520715, using left camera image.
1726016910.3534567," camera image not ready, skipping."
1726016910.8554602, start processing a new image.
1726016910.856957, using left camera image.
1726016910.8583684," camera image not ready, skipping."
1726016911.3605075, start processing a new image.
1726016911.3618739, using left camera image.
1726016911.3632061," camera image not ready, skipping."
1726016911.8652434, start processing a new image.
1726016911.8666296, using left camera image.
1726016911.8679662," camera image not ready, skipping."
1726016912.3699865, start processing a new image.
1726016912.3714359, using left camera image.
1726016912.3727407," camera image not ready, skipping."
1726016912.8744535, start processing a new image.
1726016912.8758106, using left camera image.
1726016912.8770964," camera image not ready, skipping."
1726016913.379147, start processing a new image.
1726016913.3804958, using left camera image.
1726016913.3818243," camera image not ready, skipping."
1726016913.8837745, start processing a new image.
1726016913.8851433, using left camera image.
1726016913.8864958," camera image not ready, skipping."
1726016914.3884335, start processing a new image.
1726016914.3898408, using left camera image.
1726016914.3911555," camera image not ready, skipping."
1726016914.8932958, start processing a new image.
1726016914.8946164, using left camera image.
1726016914.8959491," camera image not ready, skipping."
1726016915.3981416, start processing a new image.
1726016915.3995507, using left camera image.
1726016915.4008853," camera image not ready, skipping."
1726016915.9024737, start processing a new image.
1726016915.9038353, using left camera image.
1726016915.9051938," camera image not ready, skipping."
1726016916.407117, start processing a new image.
1726016916.4084764, using left camera image.
1726016916.4097996," camera image not ready, skipping."
1726016916.91179, start processing a new image.
1726016916.913165, using left camera image.
1726016916.91451," camera image not ready, skipping."
1726016917.4166856, start processing a new image.
1726016917.4180634, using left camera image.
1726016917.4193974," camera image not ready, skipping."
1726016917.9213958, start processing a new image.
1726016917.9227319, using left camera image.
1726016917.9240665," camera image not ready, skipping."
1726016918.4260263, start processing a new image.
1726016918.4273188, using left camera image.
1726016918.4286273," camera image not ready, skipping."
